token_id,split,token_audio_path,target_tone_proxy,target_tone_proxy_source,predicted_tone,model_candidate,model_score_type,decision_score_T1,decision_score_T2,decision_score_T3,decision_score_T4,top1_margin,runner_up_tone,context_status,boundary_provenance,pitch_provenance,source_audio_path,source_audio_status,previous_lexical_tone,following_lexical_tone,sandhi_context,annotation_status,gold_status,auto_promotion_prohibited,human_perceived_tone,human_correctness,reviewer_id,reviewed_at,adjudicator_id,adjudication_status,review_notes,queue_reasons,priority_band
00200320_00,train,benchmark_token_segments/00200320_00.wav,T3,human_correct_prompt_proxy,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.38905622194601297,-0.3914160857728551,-0.9276117145149498,-0.7178234796793053,0.00235986,T2,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204526_09,train,benchmark_token_segments/00204526_09.wav,T3,human_correct_prompt_proxy,T4,wav2vec_mean;C=0.03,uncalibrated_linear_svm_margin,-1.5454092446268128,-0.15790841844383008,-0.2713454400672366,-0.13461271371368616,0.0232957,T2,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00202020_08,train,benchmark_token_segments/00202020_08.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.1742910850744868,-0.2188354982944699,-0.37882422825612727,-0.25400403465066895,0.03516854,T4,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204326_08,train,benchmark_token_segments/00204326_08.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.1,uncalibrated_linear_svm_margin,-1.2003673972819775,-0.529561751429543,-0.35420323080904026,-0.3186921946301304,0.03551104,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204529_03,train,benchmark_token_segments/00204529_03.wav,T3,human_correct_prompt_proxy,T4,wav2vec_mean;C=0.03,uncalibrated_linear_svm_margin,-0.6782142837783602,-0.41193126980271855,-0.7469413170099768,-0.3721375837280794,0.03979369,T2,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00203828_07,train,benchmark_token_segments/00203828_07.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.13222433117652588,-1.0080621656398647,-1.4155616082906444,-0.09219368186603549,0.04003065,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00201920_05,train,benchmark_token_segments/00201920_05.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.7232727838444479,-0.40720974524898473,-0.4573560905785323,-0.7656152514935803,0.05014635,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00200214_00,train,benchmark_token_segments/00200214_00.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.2312458671000452,-0.41490785747601655,-0.4725180440820934,-0.6189121410448386,0.05761019,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00202114_00,train,benchmark_token_segments/00202114_00.wav,T3,human_correct_prompt_proxy,T4,wav2vec_mean;C=0.03,uncalibrated_linear_svm_margin,-0.7016289675962201,-0.6559526120839477,-0.48770432477149106,-0.42773468009078336,0.05996964,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00201020_00,train,benchmark_token_segments/00201020_00.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.200242226218048,-0.29307187725021766,-0.2933604666032259,-0.22956677773902082,0.0635051,T2,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204228_04,train,benchmark_token_segments/00204228_04.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.3612300570349524,-0.1645353211407542,-0.2553106353774287,-0.9337113120816829,0.09077531,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00200920_00,train,benchmark_token_segments/00200920_00.wav,T3,human_correct_prompt_proxy,T1,fusion;C=0.1,uncalibrated_linear_svm_margin,1.1903365871350036,-1.806605621972888,1.0940411711660167,-1.242947439094729,0.09629542,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00202428_07,train,benchmark_token_segments/00202428_07.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-2.4503205219689064,-0.0897110243613366,-0.020120162719735712,0.07739129322805516,0.09751146,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204408_04,train,benchmark_token_segments/00204408_04.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.8447873612325905,-0.22893190407527386,-0.45374231931604914,-0.3289781522930472,0.10004625,T4,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00203328_04,train,benchmark_token_segments/00203328_04.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.1,uncalibrated_linear_svm_margin,-1.461012989868863,0.08948231663155937,-0.018711761796891047,-0.8504012674518326,0.10819408,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204229_03,train,benchmark_token_segments/00204229_03.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.33662542001144946,-0.0553195376696507,-0.17476886638217293,-1.5629416230179358,0.11944933,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00201020_08,train,benchmark_token_segments/00201020_08.wav,T3,human_correct_prompt_proxy,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.5525928513327801,-1.342120861839719,0.41998201290743675,-1.050136836129998,0.13261084,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00201620_05,train,benchmark_token_segments/00201620_05.wav,T3,human_correct_prompt_proxy,T4,wav2vec_mean;C=0.03,uncalibrated_linear_svm_margin,-0.9901676432137665,-1.1404701419934908,-0.07177031373294374,0.061506742040477735,0.13327706,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00203908_04,train,benchmark_token_segments/00203908_04.wav,T3,human_correct_prompt_proxy,T2,wav2vec_mean;C=0.03,uncalibrated_linear_svm_margin,-0.37029805026982043,-0.22873013897427275,-0.5627621075884113,-1.1822470988255487,0.14156791,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00202120_00,train,benchmark_token_segments/00202120_00.wav,T3,human_correct_prompt_proxy,T4,wav2vec_mean;C=0.03,uncalibrated_linear_svm_margin,-1.246964314092831,-0.6280929500411919,-0.4974909407100147,-0.34893187313884383,0.14855907,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00202826_08,train,benchmark_token_segments/00202826_08.wav,T3,human_correct_prompt_proxy,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.03459152202066795,-1.2691240062721727,-0.21482758425627624,-0.46259359352500934,0.18023606,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00202020_00,train,benchmark_token_segments/00202020_00.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.3192837864251693,-1.2808941064255728,-0.29853425392040844,-0.10608156881422626,0.19245269,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00202828_04,train,benchmark_token_segments/00202828_04.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.5559786022913922,-0.6097531824476239,-0.7808505678586702,-0.3542141408968247,0.20176446,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00203129_03,train,benchmark_token_segments/00203129_03.wav,T3,human_correct_prompt_proxy,T2,wav2vec_mean;C=0.03,uncalibrated_linear_svm_margin,-0.24939597760413457,-0.04750332719420658,-1.1959803066041705,-0.9534588138865217,0.20189265,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00204626_08,train,benchmark_token_segments/00204626_08.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.1,uncalibrated_linear_svm_margin,-0.9444551016678652,0.07551276781493232,-0.13765156738633877,-1.2463390898767528,0.21316434,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00202826_09,train,benchmark_token_segments/00202826_09.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.4028633398782539,-0.45823077122571754,-0.47115026669292637,-0.17690305739874793,0.22596028,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00204426_08,train,benchmark_token_segments/00204426_08.wav,T3,human_correct_prompt_proxy,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.30346157105006893,-1.0818497142364625,-0.5241651836393598,-0.016353316874609947,0.28710825,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
00203526_08,train,benchmark_token_segments/00203526_08.wav,T3,human_correct_prompt_proxy,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.46170701393826064,-0.1544748125206743,-0.5175181811886973,-1.1281943978892606,0.3072322,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error,1
