token_id,speaker_id,human_correct,produced_tone_proxy,predicted_tone,selected_candidate,score_type,decision_score_T1,decision_score_T2,decision_score_T3,decision_score_T4
00200214_00,02002,1,T3,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-1.8555434127446089,0.08042970677615746,0.06884304493451798,-1.2328198916390218
00200214_01,02002,1,T1,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.1910358093073658,-0.01737603823255207,-1.8171289176380117,-0.6403034765972925
00200214_03,02002,1,T2,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.935887211005857,0.5505207986267607,-0.9357311662388448,-1.3707224644076086
00200214_04,02002,1,T4,T4,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-1.5251120546159616,-2.2455725082162017,-0.8872337449864401,1.537734707933962
00200214_06,02002,1,T4,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-1.1723468480025656,0.2725871537749255,-1.5128789847745514,-0.47104425541922634
00200214_07,02002,1,T1,T1,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,0.6281947908890557,-1.4664918715248971,-0.974103887229994,-0.5517310504419968
00200214_08,02002,1,T1,T1,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,0.11365543461792738,-0.8383565182003982,-0.3341853226498581,-0.8190122967362842
00200217_03,02002,1,T2,T1,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,0.07648826922270202,-0.5119031036768877,-0.9394021935992366,-1.1511090983057084
00200220_00,02002,1,T3,T3,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.9026605356788384,-1.4813664009033047,1.239501105666942,0.05181185064158056
00200220_01,02002,1,T1,T1,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,0.06640907426525633,-0.48178603267552333,-0.7521155656473649,-1.0511040727714747
00200220_05,02002,1,T3,T3,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-1.0340567127596532,-1.178810368086947,0.0015885256353652677,-0.676448162017619
00200220_06,02002,1,T1,T1,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,0.41076858678786987,-1.1961639778487858,-0.7235904925411715,-0.4699910456244739
00200220_08,02002,1,T3,T3,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-1.6086365728641003,-0.11938804002895387,0.2000424340077045,-0.765804650467572
00200220_15,02002,1,T2,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.09688078634085107,0.6654174930327449,-0.8381934200109173,-2.2240295645784482
