ref_id,transformation,trajectory_max_delta_st,trajectory_tolerance_st,score_delta,score_tolerance,baseline_decision,variant_decision,within_tolerance,decision_preserved
REF_00100114_01,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100114_01,amplitude_x0.8,2.264826548525889e-09,0.05,2.884045224860188e-10,0.01,RETRY,RETRY,True,True
REF_00100114_01,amplitude_x1.2,4.021018185085268e-09,0.05,4.67979544005459e-10,0.01,RETRY,RETRY,True,True
REF_00100114_01,study_capture_roundtrip,6.96467390213229e-05,1.5,6.354873411551498e-06,0.1,RETRY,RETRY,True,True
REF_00100114_07,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100114_07,amplitude_x0.8,1.6811867453725426e-09,0.05,4.278211118702302e-11,0.01,RETRY,RETRY,True,True
REF_00100114_07,amplitude_x1.2,4.713953671853233e-09,0.05,1.1549594614024272e-11,0.01,RETRY,RETRY,True,True
REF_00100114_07,study_capture_roundtrip,4.6235502082936364e-05,1.5,1.7333470345159974e-06,0.1,RETRY,RETRY,True,True
REF_00100114_08,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100114_08,amplitude_x0.8,8.841169574225205e-09,0.05,1.1702844249228406e-10,0.01,RETRY,RETRY,True,True
REF_00100114_08,amplitude_x1.2,1.0960874874399451e-08,0.05,6.371227989632189e-10,0.01,RETRY,RETRY,True,True
REF_00100114_08,study_capture_roundtrip,0.00011874262256128532,1.5,4.441825922074649e-06,0.1,RETRY,RETRY,True,True
REF_00100114_03,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,PASS,PASS,True,True
REF_00100114_03,amplitude_x0.8,2.522241970837058e-09,0.05,1.1261297450104735e-10,0.01,PASS,PASS,True,True
REF_00100114_03,amplitude_x1.2,2.1677806216757745e-09,0.05,1.8357715347860903e-10,0.01,PASS,PASS,True,True
REF_00100114_03,study_capture_roundtrip,4.706546451416216e-05,1.5,4.653662486808763e-06,0.1,PASS,PASS,True,True
REF_00100117_03,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100117_03,amplitude_x0.8,1.193555476675101e-09,0.05,4.495820382643956e-11,0.01,RETRY,RETRY,True,True
REF_00100117_03,amplitude_x1.2,3.2014924045142834e-09,0.05,1.2653322833955372e-10,0.01,RETRY,RETRY,True,True
REF_00100117_03,study_capture_roundtrip,9.139728523166468e-05,1.5,3.7965043268584076e-06,0.1,RETRY,RETRY,True,True
REF_00100120_15,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,PASS,PASS,True,True
REF_00100120_15,amplitude_x0.8,6.012726316839689e-09,0.05,4.301392575456475e-12,0.01,PASS,PASS,True,True
REF_00100120_15,amplitude_x1.2,4.986958401786978e-09,0.05,4.27291535487484e-12,0.01,PASS,PASS,True,True
REF_00100120_15,study_capture_roundtrip,0.00010685232412299683,1.5,9.276637222832562e-07,0.1,PASS,PASS,True,True
