alignment_status,alignment_success,dataset,end_seconds,expected_tone,human_usable_boundary,sample_id,speaker_id,split,start_seconds,tone_correctness,utterance_id
ok,True,OMPAL,0.7433,T3,,00200114_00,02001,test,0.5223,True,00200114
ok,True,OMPAL,0.9442,T1,,00200114_01,02001,test,0.7835,True,00200114
ok,True,OMPAL,1.2656,T2,,00200114_03,02001,test,1.0848,True,00200114
ok,True,OMPAL,1.4464,T4,,00200114_04,02001,test,1.3259,True,00200114
ok,True,OMPAL,2.6518,T4,,00200114_06,02001,test,2.4911,True,00200114
ok,True,OMPAL,3.6964,T1,,00200114_07,02001,test,3.5558,True,00200114
ok,True,OMPAL,4.0179,T1,,00200114_08,02001,test,3.8772,True,00200114
ok,True,OMPAL,1.5726,T4,,00200117_01,02001,test,1.4516,True,00200117
ok,True,OMPAL,1.9556,T2,,00200117_03,02001,test,1.754,True,00200117
ok,True,OMPAL,0.8406,T3,,00200120_00,02001,test,0.7405,True,00200120
ok,True,OMPAL,1.2408,T1,,00200120_01,02001,test,0.9206,True,00200120
ok,True,OMPAL,2.8219,T1,,00200120_03,02001,test,2.7818,True,00200120
ok,True,OMPAL,3.7224,T3,,00200120_05,02001,test,3.5023,True,00200120
ok,True,OMPAL,3.9226,T1,,00200120_06,02001,test,3.8025,True,00200120
ok,True,OMPAL,5.2635,T3,,00200120_08,02001,test,5.0433,False,00200120
ok,True,OMPAL,7.605,T1,,00200120_13,02001,test,7.565,True,00200120
ok,True,OMPAL,8.3455,T2,,00200120_15,02001,test,7.9652,True,00200120
ok,True,OMPAL,0.683,T3,,00200214_00,02002,train,0.3616,True,00200214
ok,True,OMPAL,1.1048,T1,,00200214_01,02002,train,0.8236,True,00200214
ok,True,OMPAL,1.9284,T2,,00200214_03,02002,train,1.6271,True,00200214
ok,True,OMPAL,2.1694,T4,,00200214_04,02002,train,2.0489,True,00200214
ok,True,OMPAL,3.3546,T4,,00200214_06,02002,train,3.1738,True,00200214
ok,True,OMPAL,3.8568,T1,,00200214_07,02002,train,3.7162,True,00200214
ok,True,OMPAL,4.1782,T1,,00200214_08,02002,train,3.9773,True,00200214
ok,True,OMPAL,1.2073,T4,,00200217_01,02002,train,1.0665,False,00200217
ok,True,OMPAL,2.6159,T2,,00200217_03,02002,train,2.3744,True,00200217
ok,True,OMPAL,0.5806,T3,,00200220_00,02002,train,0.4605,True,00200220
ok,True,OMPAL,1.021,T1,,00200220_01,02002,train,0.7007,True,00200220
ok,True,OMPAL,1.6817,T1,,00200220_03,02002,train,1.5816,False,00200220
ok,True,OMPAL,2.9229,T3,,00200220_05,02002,train,2.6026,True,00200220
ok,True,OMPAL,3.2032,T1,,00200220_06,02002,train,3.043,True,00200220
ok,True,OMPAL,4.2843,T3,,00200220_08,02002,train,4.044,True,00200220
ok,True,OMPAL,7.3073,T1,,00200220_13,02002,train,7.2272,False,00200220
ok,True,OMPAL,8.4884,T2,,00200220_15,02002,train,8.008,True,00200220
ok,True,OMPAL,1.2842,T3,,00200314_00,02003,train,1.0234,True,00200314
ok,True,OMPAL,1.6655,T1,,00200314_01,02003,train,1.3845,True,00200314
ok,True,OMPAL,2.2674,T2,,00200314_03,02003,train,2.0467,True,00200314
ok,True,OMPAL,2.5082,T4,,00200314_04,02003,train,2.3477,True,00200314
ok,True,OMPAL,4.5148,T4,,00200314_06,02003,train,4.3743,True,00200314
ok,True,OMPAL,5.177,T1,,00200314_07,02003,train,4.9964,True,00200314
ok,True,OMPAL,5.4579,T1,,00200314_08,02003,train,5.3174,True,00200314
ok,True,OMPAL,1.4302,T4,,00200317_01,02003,train,1.2892,True,00200317
ok,True,OMPAL,2.2158,T2,,00200317_03,02003,train,1.9741,False,00200317
ok,True,OMPAL,1.5218,T3,,00200320_00,02003,train,1.3817,True,00200320
ok,True,OMPAL,1.9824,T1,,00200320_01,02003,train,1.682,True,00200320
ok,True,OMPAL,3.2439,T1,,00200320_03,02003,train,3.1438,True,00200320
ok,True,OMPAL,5.4666,T3,,00200320_05,02003,train,5.1462,True,00200320
ok,True,OMPAL,5.807,T1,,00200320_06,02003,train,5.6068,True,00200320
ok,True,OMPAL,13.2159,T3,,00200320_08,02003,train,12.9556,True,00200320
ok,True,OMPAL,16.1795,T1,,00200320_13,02003,train,16.0994,True,00200320
ok,True,OMPAL,17.5612,T2,,00200320_15,02003,train,17.2207,True,00200320
ok,True,OMPAL,0.6634,T3,,00200414_00,02004,dev,0.4222,True,00200414
ok,True,OMPAL,1.0253,T1,,00200414_01,02004,dev,0.784,True,00200414
ok,True,OMPAL,1.5278,T2,,00200414_03,02004,dev,1.3067,False,00200414
ok,True,OMPAL,1.749,T4,,00200414_04,02004,dev,1.6082,True,00200414
ok,True,OMPAL,2.8144,T4,,00200414_06,02004,dev,2.6737,True,00200414
ok,True,OMPAL,3.1562,T1,,00200414_07,02004,dev,3.0356,True,00200414
ok,True,OMPAL,3.4979,T1,,00200414_08,02004,dev,3.3371,True,00200414
ok,True,OMPAL,1.1294,T4,,00200417_01,02004,dev,0.9882,True,00200417
ok,True,OMPAL,1.795,T2,,00200417_03,02004,dev,1.5529,False,00200417
ok,True,OMPAL,0.4804,T3,,00200420_00,02004,dev,0.3603,True,00200420
ok,True,OMPAL,0.9007,T1,,00200420_01,02004,dev,0.6205,True,00200420
ok,True,OMPAL,1.4811,T1,,00200420_03,02004,dev,1.4011,True,00200420
ok,True,OMPAL,2.3017,T3,,00200420_05,02004,dev,2.0616,True,00200420
ok,True,OMPAL,2.5419,T1,,00200420_06,02004,dev,2.4218,True,00200420
ok,True,OMPAL,3.923,T3,,00200420_08,02004,dev,3.6428,True,00200420
ok,True,OMPAL,5.7444,T1,,00200420_13,02004,dev,5.6643,True,00200420
ok,True,OMPAL,6.6651,T2,,00200420_15,02004,dev,6.2247,True,00200420
ok,True,OMPAL,0.7028,T3,,00200514_00,02005,train,0.4618,False,00200514
ok,True,OMPAL,1.1647,T1,,00200514_01,02005,train,0.8434,False,00200514
ok,True,OMPAL,2.9317,T2,,00200514_03,02005,train,2.7309,False,00200514
ok,True,OMPAL,3.1325,T4,,00200514_04,02005,train,3.0321,True,00200514
ok,True,OMPAL,4.0161,T4,,00200514_06,02005,train,3.8956,True,00200514
ok,True,OMPAL,4.3373,T1,,00200514_07,02005,train,4.1968,True,00200514
ok,True,OMPAL,4.6386,T1,,00200514_08,02005,train,4.498,True,00200514
ok,True,OMPAL,1.6452,T4,,00200517_01,02005,train,1.5248,True,00200517
ok,True,OMPAL,2.5481,T2,,00200517_03,02005,train,2.3475,False,00200517
ok,True,OMPAL,0.7015,T3,,00200520_00,02005,train,0.6013,True,00200520
ok,True,OMPAL,0.9821,T1,,00200520_01,02005,train,0.7817,True,00200520
ok,True,OMPAL,1.4632,T1,,00200520_03,02005,train,1.4031,True,00200520
ok,True,OMPAL,2.0845,T3,,00200520_05,02005,train,1.8841,False,00200520
ok,True,OMPAL,2.3451,T1,,00200520_06,02005,train,2.1848,True,00200520
ok,True,OMPAL,4.0889,T3,,00200520_08,02005,train,3.9085,False,00200520
ok,True,OMPAL,6.434,T1,,00200520_13,02005,train,6.3939,True,00200520
ok,True,OMPAL,7.1155,T2,,00200520_15,02005,train,6.7547,True,00200520
ok,True,OMPAL,0.8647,T3,,00200614_00,02006,train,0.6033,False,00200614
ok,True,OMPAL,1.1864,T1,,00200614_01,02006,train,0.9652,False,00200614
ok,True,OMPAL,1.6489,T2,,00200614_03,02006,train,1.4277,True,00200614
ok,True,OMPAL,1.9103,T4,,00200614_04,02006,train,1.7495,True,00200614
ok,True,OMPAL,2.775,T4,,00200614_06,02006,train,2.6745,True,00200614
ok,True,OMPAL,3.0565,T1,,00200614_07,02006,train,2.9158,False,00200614
ok,True,OMPAL,3.338,T1,,00200614_08,02006,train,3.2174,True,00200614
ok,True,OMPAL,0.7281,T4,,00200617_01,02006,train,0.627,True,00200617
ok,True,OMPAL,1.1933,T2,,00200617_03,02006,train,0.991,False,00200617
ok,True,OMPAL,0.621,T3,,00200620_00,02006,train,0.5008,True,00200620
ok,True,OMPAL,1.0817,T1,,00200620_01,02006,train,0.7412,False,00200620
ok,True,OMPAL,1.8029,T1,,00200620_03,02006,train,1.7228,True,00200620
ok,True,OMPAL,2.5441,T3,,00200620_05,02006,train,2.2836,False,00200620
ok,True,OMPAL,2.8045,T1,,00200620_06,02006,train,2.6442,False,00200620
ok,True,OMPAL,4.3269,T3,,00200620_08,02006,train,4.1466,False,00200620
ok,True,OMPAL,5.9094,T1,,00200620_13,02006,train,5.8293,True,00200620
ok,True,OMPAL,6.6506,T2,,00200620_15,02006,train,6.3101,False,00200620
ok,True,OMPAL,1.1037,T3,,00200714_00,02007,train,0.8428,True,00200714
ok,True,OMPAL,1.6054,T1,,00200714_01,02007,train,1.2642,True,00200714
ok,True,OMPAL,2.388,T2,,00200714_03,02007,train,2.1472,True,00200714
ok,True,OMPAL,2.5686,T4,,00200714_04,02007,train,2.4682,True,00200714
ok,True,OMPAL,4.3344,T4,,00200714_06,02007,train,4.194,True,00200714
ok,True,OMPAL,4.9365,T1,,00200714_07,02007,train,4.7759,True,00200714
ok,True,OMPAL,5.3378,T1,,00200714_08,02007,train,5.2174,True,00200714
